date,time,type,amountMinor,currency,category,subcategory,paymentMethod,description,notes,id
2026-09-01,10:00,INCOME,4500000,PKR,Salary,Base Pay,Bank Transfer,Monthly salary,,
2026-09-03,11:00,EXPENSE,1800000,PKR,Housing,Rent,Bank Transfer,Rent,,
2026-09-04,13:45,EXPENSE,28000,PKR,Food & Drink,Fast Food,Cash,Burger,"with cheese, no onions",
2026-09-05,09:15,EXPENSE,320000,PKR,Food & Drink,Groceries,Debit Card,Weekly shop,,
2026-09-05,18:30,EXPENSE,45000,PKR,Transport,Fuel,Credit Card,Petrol,,
2026-09-06,20:00,EXPENSE,90000,PKR,Entertainment,Cinema,Cash,"Film, then chai",,
2026-09-08,12:00,EXPENSE,520000,PKR,Bills & Utilities,Electricity,Bank Transfer,Electricity bill,,
2026-09-09,12:00,EXPENSE,250000,PKR,Bills & Utilities,Internet,Bank Transfer,Internet,,
2026-09-10,08:45,EXPENSE,15000,PKR,Food & Drink,Coffee & Tea,Mobile Wallet,Chai,,
2026-09-11,17:20,EXPENSE,120000,PKR,Shopping,Personal Care,Debit Card,Shampoo & soap,,
2026-09-12,14:00,EXPENSE,1240000,PKR,Health,Doctor,Credit Card,Dentist,"Filling, upper left",
2026-09-13,10:30,EXPENSE,60000,PKR,Transport,Ride-hailing,Mobile Wallet,Careem to work,,
2026-09-14,19:00,EXPENSE,33000,PKR,Food & Drink,Restaurants,Cash,"Dinner with a ""friend""",,
2026-09-15,11:00,INCOME,150000,PKR,Freelance,Projects,Bank Transfer,Logo work,Invoice 004,
2026-09-15,16:40,EXPENSE,85000,PKR,Gardening,,Cash,Seeds and compost,A category the app does not have yet,
